"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60","cell61","cell62","cell63","cell64","cell65","cell66","cell67","cell68","cell69","cell70","cell71","cell72","cell73","cell74","cell75","cell76","cell77","cell78","cell79","cell80","cell81","cell82","cell83","cell84","cell85","cell86","cell87","cell88","cell89","cell90","cell91","cell92","cell93","cell94","cell95","cell96","cell97","cell98","cell99","cell100"
"gene1",0,0,0,0,0,0,287.489659712718,0,0,0,83.0419371606773,0,0,0,0,0,18.183186680158,0,19.7122092056391,0,0,13.8090412331056,0,0,0,0,0,0,1.23844059521511,32.2369151811259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.856039868255,0,0,0,2.80744224369058,0,0,0,0,0,0,0,0,28.8858684845569,0,0,0,88.7527099516101,0,0,0,35.4868618717857,0,0,0,45.5108342655884,7.06807707974972,0,4.18369122280717,0,0,3.0460194280801,0,0,0,0,4.24223586462069,0,5.43746978987474,0,0,0,0,11.3117049188225,0,0,0,41.5760855142557,0,0,0,0,0,0
"gene2",0,0,0,0,0,120.138061674039,0,0,0,0,0,0,16.0303823948539,16.5995742839515,0,0,0,0,33.1882066844941,176.919143016255,0,280.114885364509,0,0,0,22.4215529029016,0,0,0,246.306600406921,0,30.4048885054293,0,0,0,0,0,0,0,29.8742822223245,0,0,0,42.493242015905,104.876702815435,0,0,0,0,0,0,16.6733342620997,0,0,0,0,0,95.2243479136332,35.4907721978035,0,0,0,82.91120764613,0,0,0,0,66.9665211891397,0,0,0,307.505999113289,52.0758631108776,38.8598065379018,33.7663536665913,0,0,0,0,0,0,0,128.012761814033,121.150384193175,298.677487467727,314.487038919319,62.001328821129,0,0,0,0,0,0,29.1549590153019,0,0,212.261735245645,0,49.8608082327192,47.2983410716644
"gene3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene4",141.945562485057,0,0,0,0,655.792645506629,0,332.31582016063,0,0,1004.94676273015,4449.14072151775,0,130.095651748296,2866.11464540149,0,20362.9875647773,0,11641.8770658286,111.848725193166,326.806320069622,0,68.3337311808371,2863.72438782537,0,0,0,0,0,1039.44550255132,0,16.053144838179,467.766204300882,854.646783576778,159.651221117362,0,0,0,970.62509820869,0,0,0,286.99497757332,1104.43882304955,1053.42741552879,0,63.2652358609759,69.7947167396539,0,69.4763930632384,0,16.0903791203302,0,0,0,0,904.048945997529,730.30947495443,1133.66677911582,0,80.4019204534693,0,16.7605245732181,667.090755956474,0,0,43.7383524727306,140.283842998378,216.881243016512,0,588.917553753643,0,0,0,0,855.646418065183,929.359828608018,0,0,0,9192.60544551134,0,0,121.68998891,0,156.987583152011,0,0,297.242693173404,135.242742718022,2523.32025827234,297.155045628329,1635.65938294209,315.690508742448,0,0,3864.54264554475,0,592.538726847181,1818.78800328993
"gene5",0,40.9920071132954,22.9482589144815,0,0,0,16.3495492855011,0,0,260.384510402734,0,0,0,0,57.0720600957318,0,48.14604636706,0,0,100.882681981915,102.438321120937,0,0,325.501092031439,5.98152000093249,0,0,21.276557750636,0,0,0,78.2045932541234,0,0,0,0,0,0,46.0466056795214,0,0,0,85.881238152787,0,0,0,0,0,0,179.607665081006,631.804048987654,129.408215938075,0,0,43.2380774751683,0,8.31001995037646,0,0,479.659551461199,0,0,0,30.9885660891909,0,0,0,67.1412233970044,0,0,0,71.4295837245482,0,0,0,61.0592183960688,227.791630132279,0,0,0,19.3110850301194,0,0,0,0,0,0,0,25.8222013478725,0,0,251.268735796821,145.579186379337,1140.68404533852,0,0,0,0,24.4932962628646,313.418407890685
"gene6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene7",0,0,0,0,0,0,0,0,0,0,0,15.3035003047701,70.6386089414466,0,690.455612799162,0,0,89.6944720841903,0,937.936041012942,34.1236091707012,54.9829314160691,0,45.9437137220667,0,0,0,0,0,0,83.176060682527,0,816.08710739737,0,0,41.2532404826585,0,770.965569666469,0,0,0,4.75477928808549,0,0,0,19.0934418465651,0,0,186.953796014364,0,112.702576396605,476.480727348273,0,0,34.9881693097169,16.2564436423705,0,0,96.2153381413283,0,25.1388331984345,0,0,0,15.8843678835037,80.8181683555661,0,0,0,0,0,522.209458066552,295.05789335936,0,13.925069437313,0,0,0,175.909508725458,32.6074383377547,0,0,0,77.4264630639231,0,160.604471566243,0,0,274.713290255319,0,92.6527606678897,0,0,0,1017.05959925986,51.1711359647454,0,0,0,0
"gene8",0,1562.17799369324,0,0,0,0,111.526474109426,35.5148839133239,113.491497224413,282.55870883691,0,0,0,421.962131164823,171.622129762052,124.62872695711,116.250189694175,139.025877114506,0,0,244.921102949855,0,0,473.855244952111,0,0,0,0,0,0,0,232.384916614002,0,0,0,0,0,36.9705876029922,0,342.78165366452,0,168.444564820596,59.2020037464104,0,93.4998767009682,0,0,0,339.937801904824,0,0,0,0,566.811973769865,0,76.0709703762323,0,59.817605238223,92.1554400780228,0,18.1438036162946,0,0,272.788347778319,0,56.1394135927061,0,0,0,0,0,0,370.298674023251,44.8560692568382,0,0,0,0,0,532.533830941015,226.03568716252,0,387.95843403068,125.96623443686,0,35.7097213468704,0,0,220.323809474673,0,0,0,193.264836637768,0,0,33.6268160217214,0,91.6896173933215,0,152.919184855697
"gene9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10",17.8009960047938,0,0,227.750012020164,0,0,0,0,0,0,0,0,0,0,0,2.9820261216608,0,0,0,0,0,0,0,0,0,118.839293616497,0,0,0,0,36.631167067655,0,0,0,0,48.2821582011071,2.82928555120461,0,97.1345955073731,0,0,0,0,0,0,19.7057110353928,0,0,0,0.0501456667508606,45.7790586506317,3.27351805704911,14.6535142187451,0,0,0,58.8498586351018,0,0,0,0,33.6872503430367,0,0,0,0,149.775568613907,29.5247061373969,0,0,23.8557073154206,142.170691480735,100.199569652596,0,0,0,0,0,0,0,0,0,0,8.31276444817871,0,0,0,0,0,0,0,0,45.1509186264076,0,0,1079.17804159164,110.680406870106,0,0,0
